tradeday_ID,Symbol,Open,High,Low,Close,Date,Weekday
22260,SPX,2177.84,2183.08,2168.5,2182.22,2016-08-18,Thursday
22261,SPX,2181.9,2187.03,2180.46,2187.02,2016-08-19,Friday
22262,SPX,2184.24,2185.0,2175.13,2183.87,2016-08-22,Monday
22263,SPX,2181.58,2185.15,2175.96,2182.64,2016-08-23,Tuesday
22264,SPX,2187.81,2193.42,2186.8,2186.9,2016-08-24,Wednesday
22265,SPX,2185.09,2186.66,2171.25,2175.44,2016-08-25,Thursday
22266,SPX,2173.29,2179.0,2169.74,2172.47,2016-08-26,Friday
22267,SPX,2175.1,2187.94,2160.39,2169.04,2016-08-29,Monday
22268,SPX,2170.19,2183.48,2170.19,2180.38,2016-08-30,Tuesday
22269,SPX,2179.45,2182.27,2170.41,2176.12,2016-08-31,Wednesday
22270,SPX,2173.56,2173.79,2161.35,2170.95,2016-09-01,Thursday
22271,SPX,2171.33,2173.56,2157.09,2170.86,2016-09-02,Friday
22272,SPX,2177.49,2184.87,2173.59,2179.98,2016-09-06,Tuesday
22273,SPX,2181.61,2186.57,2175.1,2186.48,2016-09-07,Wednesday
22274,SPX,2185.17,2187.87,2179.07,2186.16,2016-09-08,Thursday
22275,SPX,2182.76,2184.94,2177.49,2181.3,2016-09-09,Friday
22276,SPX,2169.08,2169.08,2127.81,2127.81,2016-09-12,Monday
22277,SPX,2120.86,2163.3,2119.12,2159.04,2016-09-13,Tuesday
22278,SPX,2150.47,2150.47,2120.27,2127.02,2016-09-14,Wednesday
22279,SPX,2127.86,2141.33,2119.9,2125.77,2016-09-15,Thursday
22280,SPX,2125.36,2151.31,2122.36,2147.26,2016-09-16,Friday
22281,SPX,2146.48,2146.48,2131.2,2139.16,2016-09-19,Monday
22282,SPX,2143.99,2153.61,2135.91,2139.12,2016-09-20,Tuesday
22283,SPX,2145.94,2150.8,2139.17,2139.76,2016-09-21,Wednesday
22284,SPX,2144.58,2165.11,2139.57,2163.12,2016-09-22,Thursday
